Segment,R,G,B,Assigned_Value
1,254,31,0,1.126
2,254,59,0,1.1221818181818182
3,255,100,0,1.1183636363636362
4,255,142,0,1.1145454545454545
5,255,182,0,1.1107272727272726
6,255,213,0,1.1069090909090908
7,254,240,0,1.103090909090909
8,254,253,0,1.0992727272727272
9,249,254,0,1.0954545454545455
10,235,255,0,1.0916363636363635
11,208,255,0,1.0878181818181818
12,170,255,0,1.0839999999999999
13,128,255,0,1.0801818181818181
14,94,255,0,1.0763636363636362
15,53,255,0,1.0725454545454545
16,21,255,0,1.0687272727272727
17,3,255,0,1.0649090909090908
18,0,255,1,1.061090909090909
19,0,255,11,1.0572727272727271
20,0,255,35,1.0534545454545454
21,0,255,68,1.0496363636363637
22,0,255,100,1.0458181818181818
23,0,254,145,1.042
24,0,254,188,1.038181818181818
25,0,254,222,1.0343636363636364
26,0,254,244,1.0305454545454544
27,0,254,251,1.0267272727272727
28,0,248,254,1.022909090909091
29,0,229,255,1.019090909090909
30,0,206,254,1.0152727272727273
31,0,167,254,1.0114545454545454
32,0,122,254,1.0076363636363637
33,0,80,254,1.0038181818181817
34,0,42,255,1.0
